"Song ID","Syllable ID","Latitude","longitude","Start _freq","End_freq","Average_freq","Highest_freq","Lowest_freq","Bandwidth","Duration","Excursion","Average_slope","Concavity"
"M1 Apr17 s3","s18",21.3337,-158.07645,3468.75,3000,3018.02884615,3562.5,2343.75,1218.75,0.133333333333,29.1214227143,28.828125,4
"M1 Apr17 s3","s19",21.3337,-158.07645,2437.5,3000,3104.77941176,4031.25,2437.5,1593.75,0.0906666666667,45.6263045426,45.5932617187,5
"M1 Apr17 s3","s20",21.3337,-158.07645,4500,2906.25,3313.39285714,4781.25,2718.75,2062.5,0.186666666667,37.8004577912,38.5167738971,6
"M1 Apr17 s3","s21",21.3337,-158.07645,3375,3281.25,3328.125,3468.75,3281.25,187.5,0.0373333333333,13.135355023,12.5558035714,0
"M1 Apr17 s3","s22",21.3337,-158.07645,2343.75,3093.75,2951.61290323,3562.5,2343.75,1218.75,0.170666666667,23.3977651571,20.703125,2
"M1 Apr17 s4","s1",21.3337,-158.07645,3843.75,3281.25,3562.5,3843.75,3281.25,562.5,0.0266666666667,21.1193310434,21.09375,0
"M1 Apr17 s4","s2",21.3337,-158.07645,4875,4312.5,4359.375,4875,4125,750,0.048,39.5119779527,39.0625,2
"M1 Apr17 s4","s3",21.3337,-158.07645,4125,4031.25,3949.21875,4125,3656.25,468.75,0.0373333333333,32.8041900361,32.6450892857,1
"M1 Apr17 s4","s4",21.3337,-158.07645,3843.75,3187.5,3639.20454545,4125,3000,1125,0.181333333333,18.4670859496,18.6767578125,3
"M1 Apr17 s4","s5",21.3337,-158.07645,4312.5,3843.75,3814.90384615,4312.5,3375,937.5,0.138666666667,15.9511017776,15.8203125,2
"M1 Apr17 s4","s6",21.3337,-158.07645,2906.25,3281.25,3268.16860465,3656.25,2906.25,750,0.24,9.83961332348,9.55636160714,1
"M1 Apr17 s4","s7",21.3337,-158.07645,5812.5,4312.5,4743.75,5812.5,4125,1687.5,0.0533333333333,81.0757447242,88.8671875,4
"M1 Apr17 s4","s8",21.3337,-158.07645,3093.75,3187.5,3375,3937.5,3093.75,843.75,0.0266666666667,66.8126112435,66.796875,1
"M1 Apr17 s4","s9",21.3337,-158.07645,3468.75,3000,3100.96153846,3562.5,2906.25,656.25,0.0746666666667,11.8124050737,10.25390625,0
"M1 Apr17 s4","s10",21.3337,-158.07645,3656.25,2812.5,3281.25,4687.5,2250,2437.5,0.229333333333,47.1420883853,47.9213169643,14
"M1 Apr17 s4","s11",21.3337,-158.07645,3375,2812.5,3043.26923077,3468.75,2250,1218.75,0.213333333333,16.2835296159,15.7277960526,2
"M1 Apr17 s4","s12",21.3337,-158.07645,4500,2531.25,3357.14285714,4500,2531.25,1968.75,0.218666666667,12.8630778786,12.4333079268,0
"M1 Apr17 s4","s13",21.3337,-158.07645,3093.75,3000,2889.20454545,3468.75,2343.75,1125,0.0533333333333,44.0576330264,43.9453125,2
